Order_ID,Customer_Name,Region,City,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Order_Date,Ship_Date,Payment_Mode
77435,Sneha,West,Mumbai,Technology,Storage,Product A,6988.44,8,0.03,,2023-06-12,2024-01-04,UPI
66886,Priya,West,Mumbai,Furniture,Storage,Product B,9516.01,5,0.29,,2024-05-21,2023-12-11,Card
76803,Kumar,East,Mumbai,Technology,Binders,Product D,862.62,2,0.17,287.66,2023-03-11,2022-05-29,UPI
41551,Sneha,North,Bangalore,Technology,Tables,Product A,381.99,3,0.42,572.31,2024-07-21,2022-12-12,Card
21394,Sneha,East,Delhi,Technology,Phones,Product D,8853.06,1,0.18,186.86,2022-09-27,2023-05-26,Card
79092,Kumar,West,Mumbai,Technology,Tables,Product C,7506.64,2,0.13,948.41,2024-05-20,2023-05-22,UPI
13890,Deepa,West,Mumbai,Furniture,Tables,Product C,9923.26,1,0.43,-353.43,2022-03-09,2023-07-08,Cash
51606,Sneha,East,Mumbai,Technology,Tables,Product A,4028.25,2,0.19,-125.81,2022-01-30,2022-05-16,Card
90038,Priya,North,Chennai,Office Supplies,Storage,Product B,4218.9,3,0.01,,2022-11-12,2023-04-11,Cash
97313,Rahul,East,Bangalore,Furniture,Phones,Product C,1805.89,1,0.2,-33.75,2024-03-31,2024-05-15,UPI
20627,Rahul,East,Chennai,Technology,Tables,Product C,1246.89,9,0.33,88.79,2024-01-07,2024-09-18,UPI
18792,Arun,West,Bangalore,Furniture,Binders,Product B,5829.31,5,0.13,,2022-06-13,2022-07-12,UPI
83969,Arun,North,Mumbai,Office Supplies,Storage,Product C,3706.42,8,0.22,-266.75,2024-07-14,2022-06-14,UPI
53001,Rahul,South,Delhi,Technology,Binders,Product D,895.13,5,0.03,593.68,2022-11-16,2023-04-03,Card
86552,Rahul,North,Hyderabad,Office Supplies,Binders,Product B,8881.17,8,0.29,-442.34,2022-01-14,2022-03-04,Card
33897,,East,Hyderabad,Technology,Tables,Product C,,7,0.38,367.02,2022-10-06,2022-01-07,Cash
78148,Kumar,East,Mumbai,Office Supplies,Binders,Product B,,4,0.21,1247.45,2023-03-08,2022-02-08,Cash
33483,Arun,East,Chennai,Technology,Phones,Product D,2894.06,7,0.21,-274.74,2023-10-30,2023-04-07,Card
58555,Kumar,North,Delhi,Furniture,Binders,Product C,8147.76,6,0.04,1720.84,2023-09-26,2022-08-07,UPI
27159,Priya,West,Bangalore,Technology,Tables,Product A,1272.13,3,0.1,1773.75,2022-09-20,2024-01-09,Cash
90077,Rahul,East,Mumbai,Furniture,Binders,Product C,7585.11,9,0.08,-237.52,2023-11-13,2024-09-27,Card
45920,Sneha,East,Delhi,Technology,Storage,Product C,1071.38,9,0.24,1976.83,2023-06-06,2023-12-31,Cash
77121,Kumar,North,Delhi,Technology,Storage,Product D,4524.47,5,0.26,243.82,2024-08-21,2022-05-21,Card
79479,Rahul,South,Bangalore,Office Supplies,Storage,Product A,7366.64,8,0.47,-289.75,2022-06-21,2023-09-12,UPI
99475,Rahul,South,Delhi,Office Supplies,Chairs,Product A,1814.86,7,0.04,-487.33,2022-12-24,2022-04-11,Card
29457,Deepa,West,Chennai,Office Supplies,Storage,Product A,,9,0.3,521.31,2022-01-13,2023-11-13,Cash
76557,Kumar,West,Chennai,Technology,Storage,Product D,8661.19,7,0.26,1074.52,2023-12-26,2024-08-20,Card
87189,Sneha,East,Chennai,Technology,Chairs,Product D,8862.68,4,0.26,330.45,2023-11-04,2022-09-23,Cash
88953,Kumar,North,Delhi,Technology,Storage,Product D,544.86,4,0.44,1591.79,2022-08-20,2023-08-24,Cash
62995,Rahul,East,Chennai,Furniture,Tables,Product D,1764.1,8,0.1,1291.52,2023-04-21,2023-08-21,Cash
50757,Sneha,West,Bangalore,Furniture,Storage,Product D,1262.97,6,0.02,375.4,2023-04-16,2022-08-14,UPI
19692,Priya,North,Delhi,Technology,Storage,Product A,1878.96,9,0.34,1335.77,2022-06-09,2022-01-13,UPI
55758,Deepa,North,Hyderabad,Office Supplies,Chairs,Product B,9704.86,7,0.17,1851.22,2023-10-01,2022-11-25,Card
82409,,West,Delhi,Office Supplies,Tables,Product D,5561.39,7,0.01,-267.26,2023-07-14,2023-12-01,Card
81211,Arun,South,Bangalore,Office Supplies,Binders,Product B,4734.31,4,0.13,265.26,2022-09-18,2022-12-18,Cash
75697,,South,Hyderabad,Technology,Phones,Product C,9846.23,3,0.15,658.31,2023-07-27,2023-01-16,UPI
47065,Deepa,North,Delhi,Office Supplies,Tables,Product C,5613.87,8,0.31,744.98,2023-09-26,2024-08-03,Card
42606,Priya,East,Chennai,Technology,Binders,Product D,6645.07,7,0.09,855.49,2023-08-25,2022-08-21,Card
21534,Rahul,South,Mumbai,Furniture,Tables,Product C,3394.43,4,0.21,251.57,2022-12-25,2022-05-23,UPI
50397,Kumar,East,Mumbai,Office Supplies,Binders,Product B,3882.94,4,0.24,1168.15,2022-09-12,2023-09-12,Cash
11016,Deepa,South,Chennai,Furniture,Binders,Product C,5984.65,1,0.23,1112.71,2023-08-25,2024-02-06,Card
99789,Priya,South,Mumbai,Office Supplies,Tables,Product C,790.88,7,0.49,944.55,2023-05-30,2024-08-15,Cash
65591,Kumar,East,Mumbai,Technology,Chairs,Product B,2633.24,1,0.02,-215.6,2022-10-07,2022-02-20,UPI
99812,Arun,West,Chennai,Technology,Tables,Product C,2048.44,4,0.48,692.42,2022-04-27,2023-03-29,UPI
33247,Arun,South,Chennai,Technology,Tables,Product D,257.34,3,0.29,390.57,2023-09-02,2024-02-16,Card
34300,Kumar,South,Delhi,Technology,Binders,Product B,5415.32,3,0.4,727.6,2022-06-11,2023-05-08,Card
84065,Deepa,East,Delhi,Office Supplies,Phones,Product B,5654.42,1,0.22,1804.67,2024-05-01,2022-07-26,UPI
92798,Arun,West,Chennai,Furniture,Binders,Product A,3901.0,4,0.23,701.33,2024-06-05,2024-05-20,Cash
19268,,South,Bangalore,Technology,Storage,Product A,2760.4,1,0.44,-465.05,2024-09-16,2023-02-15,Cash
96807,Sneha,South,Mumbai,Office Supplies,Tables,Product B,6555.39,8,0.45,597.09,2022-10-25,2023-02-13,UPI
22185,Kumar,West,Delhi,Furniture,Tables,Product B,1433.13,1,0.12,,2024-07-04,2022-02-22,Card
73704,Kumar,South,Mumbai,Technology,Chairs,Product A,5234.29,6,0.1,1450.15,2022-10-24,2022-06-26,UPI
96779,Arun,West,Hyderabad,Furniture,Binders,Product D,7703.93,7,0.25,783.48,2023-08-17,2024-01-09,Card
49099,Deepa,West,Chennai,Technology,Chairs,Product C,1726.55,2,0.45,124.42,2022-12-24,2022-09-20,Cash
18571,Rahul,East,Bangalore,Furniture,Tables,Product C,7557.27,4,0.16,662.72,2023-10-22,2023-04-27,Card
48044,Deepa,North,Hyderabad,Furniture,Binders,Product C,7631.87,3,0.33,909.26,2023-06-02,2024-01-06,Cash
61214,Priya,West,Hyderabad,Technology,Binders,Product B,693.27,9,0.35,1999.68,2023-01-13,2022-08-13,UPI
71228,Priya,East,Hyderabad,Office Supplies,Storage,Product D,285.96,7,0.39,1110.45,2023-11-28,2022-09-28,Card
58984,Sneha,North,Chennai,Furniture,Storage,Product A,9741.96,2,0.28,1235.66,2023-03-02,2024-03-22,Cash
50774,Arun,South,Delhi,Technology,Phones,Product D,2014.49,6,0.2,728.64,2024-02-03,2024-06-13,Card
12568,Arun,North,Chennai,Furniture,Storage,Product D,8239.18,9,0.48,386.22,2023-06-21,2024-06-21,Cash
72592,Arun,West,Delhi,Furniture,Binders,Product C,5662.32,3,0.31,,2023-07-07,2024-07-09,Cash
77563,Sneha,West,Hyderabad,Office Supplies,Storage,Product A,2718.27,6,0.36,737.33,2022-06-18,2022-11-16,UPI
12695,Priya,West,Hyderabad,Furniture,Phones,Product D,1386.71,3,0.17,1986.73,2023-05-30,2023-01-22,UPI
58190,Deepa,West,Bangalore,Furniture,Tables,Product A,5017.11,3,0.33,642.8,2022-12-30,2023-08-11,Card
15258,Sneha,West,Delhi,Technology,Storage,Product B,4132.81,4,0.13,,2023-11-14,2023-09-20,Cash
97538,Sneha,East,Hyderabad,Technology,Binders,Product C,7018.97,9,0.12,1206.45,2023-03-06,2022-08-09,UPI
49504,,West,Mumbai,Office Supplies,Tables,Product A,9051.27,8,0.36,,2023-07-23,2022-02-25,Card
43159,Arun,East,Bangalore,Furniture,Binders,Product B,,1,0.26,126.25,2022-03-24,2022-07-21,UPI
23986,Rahul,South,Chennai,Furniture,Tables,Product B,2817.08,1,0.34,384.35,2022-11-26,2024-06-04,Card
71858,Deepa,West,Bangalore,Furniture,Binders,Product B,8801.44,7,0.13,1348.71,2023-11-22,2023-10-07,UPI
22666,Priya,West,Mumbai,Office Supplies,Storage,Product D,8350.57,3,0.3,735.59,2022-05-13,2022-12-07,UPI
48660,Kumar,North,Delhi,Furniture,Storage,Product D,9298.45,7,0.22,-428.39,2023-08-21,2023-12-07,Cash
13561,Kumar,South,Chennai,Technology,Phones,Product C,4640.74,9,0.3,1042.12,2023-04-02,2023-11-24,Cash
36854,Sneha,West,Chennai,Office Supplies,Tables,Product C,7708.89,3,0.15,528.59,2022-12-19,2024-06-18,UPI
74505,Kumar,West,Delhi,Technology,Phones,Product B,5957.41,3,0.36,1804.59,2024-02-22,2022-11-03,Cash
62251,Rahul,South,Bangalore,Technology,Chairs,Product C,3173.98,2,0.4,748.91,2022-12-10,2024-03-11,UPI
32662,Arun,East,Hyderabad,Office Supplies,Storage,Product D,9944.87,1,0.13,1272.44,2022-04-04,2024-01-24,Card
18392,Priya,West,Bangalore,Technology,Tables,Product C,479.24,9,0.15,47.17,2023-01-17,2022-09-04,UPI
40535,Rahul,North,Mumbai,Furniture,Phones,Product A,1706.5,6,0.33,1402.43,2024-05-17,2024-04-23,UPI
88603,Priya,West,Hyderabad,Office Supplies,Phones,Product D,8936.17,6,0.35,1302.39,2024-02-01,2023-09-23,Card
62256,Priya,North,Bangalore,Technology,Chairs,Product B,699.57,8,0.35,1760.2,2022-10-22,2022-07-29,Card
99135,Arun,North,Delhi,Furniture,Phones,Product B,8879.52,5,0.34,-415.45,2022-07-17,2024-09-25,Cash
45222,Sneha,West,Mumbai,Furniture,Binders,Product C,7180.69,9,0.2,618.75,2022-03-20,2023-12-27,Card
87373,Kumar,West,Mumbai,Technology,Storage,Product D,,5,0.2,1197.89,2023-11-09,2023-05-28,Cash
89575,Arun,North,Mumbai,Furniture,Phones,Product B,4350.27,2,0.13,-262.09,2023-07-05,2022-09-18,UPI
94651,Rahul,South,Hyderabad,Office Supplies,Phones,Product B,7569.27,6,0.08,526.51,2024-03-30,2023-01-17,Card
73335,Sneha,South,Chennai,Technology,Chairs,Product D,5872.69,9,0.35,1855.37,2022-08-02,2022-06-14,UPI
20965,Rahul,West,Hyderabad,Furniture,Binders,Product D,9365.13,3,0.05,589.84,2023-10-05,2024-01-10,Cash
34538,Sneha,East,Bangalore,Furniture,Phones,Product B,8689.68,4,0.47,,2023-10-31,2022-12-09,Card
80592,Rahul,South,Chennai,Technology,Storage,Product C,3393.21,8,0.41,-357.9,2024-09-15,2024-07-22,Cash
18110,Arun,West,Bangalore,Technology,Storage,Product C,937.81,6,0.43,1294.57,2024-06-12,2023-08-01,Cash
89309,Sneha,South,Chennai,Technology,Phones,Product C,9448.14,7,0.45,952.54,2022-06-08,2024-07-18,Card
37266,Sneha,East,Hyderabad,Technology,Binders,Product A,5221.14,7,0.2,751.35,2024-04-13,2024-01-30,Card
62992,Priya,West,Mumbai,Office Supplies,Storage,Product D,836.54,4,0.42,,2024-01-09,2023-06-16,Cash
92948,Priya,East,Delhi,Technology,Storage,Product B,8184.1,6,0.08,-175.87,2023-07-11,2022-02-05,Card
16910,Deepa,West,Mumbai,Office Supplies,Binders,Product A,8698.21,9,0.01,1740.0,2022-07-20,2024-04-05,Cash
10206,Rahul,East,Hyderabad,Office Supplies,Binders,Product C,6430.3,3,0.39,1228.1,2022-01-22,2024-09-26,UPI
97054,Priya,South,Chennai,Technology,Phones,Product A,4530.34,8,0.04,147.49,2022-12-05,2022-11-21,UPI
97897,Deepa,South,Mumbai,Office Supplies,Tables,Product B,6655.51,7,0.49,1754.17,2022-08-30,2022-07-02,Card
33419,Priya,East,Hyderabad,Technology,Chairs,Product B,7096.17,4,0.34,573.24,2024-01-11,2024-08-22,Card
60636,Rahul,East,Bangalore,Technology,Tables,Product D,8941.0,3,0.38,1535.57,2024-06-24,2022-12-15,UPI
60015,Sneha,East,Delhi,Furniture,Tables,Product C,9563.03,7,0.12,472.09,2022-08-26,2023-12-09,Cash
64268,Kumar,West,Mumbai,Technology,Storage,Product C,5191.78,9,0.34,1627.33,2022-05-29,2022-07-13,Cash
97939,Rahul,South,Chennai,Furniture,Binders,Product A,8005.1,3,0.02,1091.57,2024-02-24,2023-08-04,Cash
28141,Arun,West,Bangalore,Office Supplies,Storage,Product C,9648.64,9,0.42,,2023-08-02,2023-12-24,Card
90356,Priya,South,Hyderabad,Furniture,Chairs,Product A,1597.31,8,0.08,1124.16,2022-01-07,2024-05-29,Cash
81910,Priya,North,Delhi,Office Supplies,Phones,Product B,280.85,3,0.35,-21.64,2022-08-21,2023-11-12,Card
66044,Sneha,West,Chennai,Technology,Chairs,Product B,8702.74,8,0.11,529.81,2024-05-18,2022-09-05,Card
77214,Arun,South,Hyderabad,Office Supplies,Storage,Product B,,4,0.03,-74.26,2024-03-14,2022-09-04,Card
43827,Sneha,South,Hyderabad,Office Supplies,Storage,Product B,520.54,6,0.24,-444.96,2024-02-07,2023-11-11,UPI
65820,Arun,West,Mumbai,Technology,Storage,Product B,1684.95,2,0.08,29.72,2023-08-02,2024-03-20,Cash
72623,Kumar,West,Mumbai,Office Supplies,Storage,Product A,3902.74,8,0.36,840.93,2024-02-01,2024-07-05,Card
91734,Priya,South,Chennai,Technology,Tables,Product B,2270.73,9,0.12,703.9,2022-03-18,2023-12-26,Cash
85450,Priya,West,Hyderabad,Furniture,Phones,Product A,3122.01,7,0.17,753.74,2023-05-04,2022-05-15,UPI
32299,Kumar,East,Mumbai,Technology,Tables,Product B,9755.41,8,0.28,119.22,2024-07-14,2022-07-18,Cash
53585,,West,Delhi,Technology,Storage,Product A,7073.61,7,0.14,1212.9,2022-03-28,2024-06-30,UPI
74044,Sneha,West,Delhi,Office Supplies,Binders,Product A,7150.7,4,0.19,1260.66,2024-02-03,2022-12-15,Card
52557,Kumar,West,Hyderabad,Furniture,Tables,Product A,1037.39,1,0.41,394.92,2024-08-24,2022-02-20,Card
59080,Sneha,South,Mumbai,Technology,Storage,Product C,7347.77,3,0.09,1702.93,2022-08-10,2022-03-07,UPI
12693,Rahul,East,Chennai,Furniture,Storage,Product A,7419.51,7,0.04,1110.06,2023-02-17,2023-09-18,Card
79163,Priya,North,Chennai,Furniture,Phones,Product A,6631.48,7,0.16,1282.6,2023-08-07,2024-05-19,Cash
35939,Sneha,North,Chennai,Office Supplies,Chairs,Product B,,3,0.21,193.35,2022-07-21,2023-11-30,Cash
58925,Arun,East,Delhi,Technology,Tables,Product A,4288.06,1,0.27,-498.47,2024-07-17,2022-04-16,UPI
52941,Sneha,East,Mumbai,Office Supplies,Tables,Product A,8478.14,9,0.19,1663.44,2023-07-25,2024-07-21,Cash
31834,Rahul,East,Mumbai,Technology,Tables,Product D,6735.0,6,0.39,1556.06,2022-10-03,2022-08-03,Card
28047,Priya,South,Delhi,Furniture,Storage,Product C,7354.41,7,0.02,-192.02,2022-08-09,2023-06-03,Card
36105,Kumar,North,Chennai,Technology,Phones,Product D,5915.01,1,0.22,435.26,2022-06-06,2022-05-01,Card
85766,Rahul,East,Chennai,Technology,Storage,Product B,4550.91,1,0.19,1153.35,2022-06-30,2024-05-07,Cash
25707,Priya,South,Hyderabad,Furniture,Storage,Product C,7614.61,4,0.32,1130.28,2023-12-26,2024-02-02,Card
31976,Sneha,North,Bangalore,Furniture,Binders,Product C,772.47,7,0.48,1650.88,2022-05-09,2023-11-12,Cash
54262,Deepa,West,Mumbai,Technology,Phones,Product D,6764.29,8,0.26,-149.33,2022-08-31,2024-06-15,UPI
33776,Deepa,South,Mumbai,Office Supplies,Tables,Product C,9972.32,9,0.49,574.85,2024-07-18,2022-09-01,Card
40080,Arun,North,Mumbai,Technology,Chairs,Product D,7823.9,1,0.15,-256.94,2022-06-21,2022-10-09,UPI
76842,Priya,South,Bangalore,Furniture,Tables,Product A,2976.58,4,0.02,473.99,2023-05-18,2023-03-02,Cash
71373,Deepa,North,Hyderabad,Office Supplies,Storage,Product D,2850.41,4,0.08,-462.23,2023-04-25,2022-12-31,Cash
16776,Kumar,North,Bangalore,Furniture,Phones,Product C,6705.46,3,0.2,1745.68,2024-05-26,2024-01-22,UPI
65016,Priya,West,Chennai,Furniture,Phones,Product C,8968.96,7,0.16,817.61,2022-09-27,2022-11-04,Card
19474,Kumar,South,Chennai,Office Supplies,Phones,Product B,5821.7,1,0.05,,2023-02-25,2023-12-20,Card
68053,Kumar,East,Mumbai,Furniture,Binders,Product B,5321.28,9,0.22,-350.24,2022-06-12,2023-05-03,Card
31959,Deepa,West,Delhi,Furniture,Tables,Product B,1687.8,8,0.17,68.65,2024-08-12,2022-11-12,UPI
15530,Priya,West,Mumbai,Furniture,Binders,Product B,7183.02,2,0.06,148.45,2022-01-24,2023-05-30,Cash
13748,Sneha,North,Delhi,Furniture,Chairs,Product C,7052.76,2,0.15,466.73,2023-05-12,2023-11-16,UPI
23545,Rahul,East,Bangalore,Furniture,Storage,Product B,9672.82,8,0.44,1507.17,2022-07-12,2022-06-18,Cash
76199,Deepa,South,Chennai,Furniture,Binders,Product D,3071.9,1,0.15,466.39,2024-05-27,2023-01-31,Card
44766,Deepa,East,Delhi,Furniture,Binders,Product A,7588.81,7,0.36,11.63,2023-01-25,2024-02-11,Card
83530,Sneha,East,Bangalore,Furniture,Storage,Product C,4397.25,9,0.31,-337.52,2023-05-12,2022-03-06,Cash
71087,Priya,East,Chennai,Furniture,Phones,Product B,5628.88,3,0.21,-301.27,2024-08-21,2022-10-01,Card
78840,Priya,East,Delhi,Technology,Storage,Product C,8182.89,7,0.12,1400.12,2024-03-16,2022-02-08,UPI
64384,Kumar,East,Mumbai,Technology,Tables,Product B,2297.75,6,0.18,612.01,2022-05-09,2022-01-18,Cash
61005,Sneha,North,Mumbai,Furniture,Storage,Product C,3494.4,7,0.3,1315.45,2023-07-07,2024-02-07,Card
56576,Sneha,North,Mumbai,Technology,Phones,Product B,7755.76,7,0.18,,2023-06-27,2022-12-11,Card
49353,,West,Bangalore,Office Supplies,Storage,Product A,5747.53,1,0.11,-161.59,2022-02-05,2022-12-14,Card
72003,Kumar,North,Mumbai,Technology,Binders,Product B,1014.99,3,0.06,-142.78,2023-04-02,2024-04-29,Card
93211,Deepa,West,Hyderabad,Furniture,Chairs,Product D,4358.84,1,0.44,1388.36,2022-12-27,2023-06-25,Cash
62733,Arun,West,Chennai,Furniture,Binders,Product C,5907.67,5,0.22,1303.17,2024-02-04,2024-08-18,Cash
75318,Rahul,South,Bangalore,Technology,Chairs,Product C,9104.22,3,0.31,445.08,2024-08-07,2023-09-17,Card
99474,Deepa,East,Mumbai,Furniture,Storage,Product D,1966.03,1,0.25,-306.44,2024-05-26,2022-08-23,UPI
33664,Priya,North,Chennai,Office Supplies,Tables,Product D,8078.93,2,0.44,,2022-08-03,2024-09-18,UPI
77172,Rahul,South,Delhi,Office Supplies,Storage,Product A,1393.18,5,0.27,220.39,2022-10-14,2023-08-01,UPI
95616,Arun,North,Mumbai,Furniture,Phones,Product C,,3,0.24,-476.94,2024-02-07,2023-09-03,UPI
36736,Arun,West,Chennai,Office Supplies,Storage,Product A,2509.1,6,0.46,75.18,2024-07-13,2023-02-22,Cash
10854,Kumar,North,Hyderabad,Office Supplies,Chairs,Product C,8787.04,9,0.36,548.75,2023-01-04,2024-06-25,Cash
48623,Rahul,East,Delhi,Technology,Binders,Product C,2070.28,6,0.06,-196.46,2023-04-14,2022-09-26,UPI
17392,Kumar,West,Hyderabad,Office Supplies,Tables,Product A,7890.91,2,0.09,-239.31,2024-06-17,2024-09-25,Cash
65680,Deepa,West,Chennai,Technology,Storage,Product C,4671.88,2,0.39,1741.09,2022-07-05,2022-11-24,UPI
56717,Sneha,South,Hyderabad,Furniture,Storage,Product C,9991.0,8,0.42,963.68,2023-04-19,2024-07-16,Card
97092,Sneha,East,Chennai,Technology,Binders,Product A,8407.01,8,0.27,1836.14,2022-03-02,2024-01-16,Card
60859,Sneha,West,Chennai,Furniture,Tables,Product B,7423.06,6,0.28,364.57,2022-09-19,2024-07-01,UPI
36309,Rahul,East,Hyderabad,Furniture,Storage,Product A,8720.19,7,0.32,1192.86,2024-02-27,2023-03-21,Cash
97455,Sneha,North,Chennai,Furniture,Storage,Product C,6376.9,1,0.22,11.73,2022-04-21,2023-07-16,UPI
73734,Deepa,East,Mumbai,Furniture,Chairs,Product D,8452.16,9,0.34,1045.85,2024-04-08,2024-05-13,Cash
80467,Kumar,West,Chennai,Furniture,Chairs,Product B,2685.16,5,0.05,-176.04,2024-07-30,2023-12-25,Card
62662,Rahul,South,Bangalore,Technology,Phones,Product D,1067.26,9,0.48,-494.8,2022-05-21,2022-03-19,Cash
22688,Kumar,West,Chennai,Furniture,Binders,Product B,6197.73,2,0.38,1828.83,2024-01-15,2022-09-06,UPI
35342,,East,Bangalore,Office Supplies,Tables,Product D,4403.43,8,0.32,887.24,2023-06-19,2024-04-09,Card
47157,Kumar,East,Chennai,Office Supplies,Storage,Product B,4321.76,7,0.16,1817.35,2022-03-20,2023-08-05,Card
77863,Arun,West,Chennai,Furniture,Storage,Product A,5314.8,4,0.08,334.58,2023-05-09,2022-11-11,Cash
62083,Kumar,East,Hyderabad,Office Supplies,Phones,Product B,3677.69,3,0.2,319.47,2022-01-31,2023-08-01,Card
75733,,North,Mumbai,Technology,Storage,Product B,6297.99,4,0.33,,2023-05-31,2023-11-27,Card
99045,Arun,West,Mumbai,Technology,Binders,Product B,402.63,4,0.32,1265.1,2023-05-24,2023-08-17,Cash
44698,Kumar,South,Delhi,Furniture,Phones,Product C,9701.92,8,0.19,914.52,2024-08-28,2022-12-11,Card
90623,Rahul,West,Hyderabad,Furniture,Binders,Product D,9254.62,4,0.31,1813.39,2023-09-22,2023-12-18,UPI
32671,,North,Hyderabad,Furniture,Phones,Product A,9359.17,5,0.41,-436.4,2022-03-07,2022-07-03,Cash
35184,Rahul,North,Mumbai,Office Supplies,Storage,Product D,3713.53,2,0.01,1270.49,2023-05-25,2024-08-14,Cash
52107,Priya,North,Hyderabad,Office Supplies,Phones,Product D,5365.72,4,0.23,325.82,2024-06-30,2024-09-12,Cash
96202,Deepa,North,Mumbai,Technology,Chairs,Product A,9545.89,7,0.38,-49.42,2023-01-06,2023-12-29,Cash
61663,Rahul,North,Hyderabad,Office Supplies,Tables,Product C,9033.23,3,0.27,775.99,2022-10-14,2024-07-25,UPI
25708,Arun,South,Chennai,Technology,Storage,Product B,7923.42,1,0.33,762.66,2022-06-25,2023-09-26,Cash
59811,Rahul,East,Mumbai,Office Supplies,Tables,Product C,4132.58,8,0.26,-157.47,2022-05-03,2023-02-05,UPI
12811,Priya,North,Mumbai,Technology,Storage,Product C,,8,0.5,4.74,2022-08-19,2022-08-31,Cash
66250,Sneha,North,Bangalore,Furniture,Tables,Product B,7949.83,6,0.03,520.41,2023-07-09,2024-04-28,Cash
82082,Arun,West,Hyderabad,Office Supplies,Chairs,Product D,2802.82,7,0.25,522.03,2022-01-04,2023-12-17,Card
